MatchID,RecTeam_Score,PullTeam_Score,RecTeam_Win_Prob,PullTeam_Win_Prob,RecTeam_Avg_Score,PullTeam_Avg_Score,RecTeam_RecToStartGame,SecondHalf,Time_StartofSim,Time_UntilCap,CapOn,OLE_Rate
11-10-85-1,11,10,0.705592,0.294408,14.94342,13.65792,1,1,0,85,0,0.63
12-10-85-1,12,10,0.853656,0.146344,15.095072,12.75186,1,1,0,85,0,0.63
13-10-85-1,13,10,0.950908,0.049092,15.072048,11.682548,1,1,0,85,0,0.63
14-10-85-1,14,10,0.99152,0.00848,15.018348,10.6112,1,1,0,85,0,0.63
0-11-85-1,0,11,0.001,0.999,0,0,1,1,0,85,0,0.63
1-11-85-1,1,11,0.00098,0.99902,4.995004,15.001088,1,1,0,85,0,0.63
2-11-85-1,2,11,0.001956,0.998044,5.99598,15.002444,1,1,0,85,0,0.63
3-11-85-1,3,11,0.004564,0.995436,7.006068,15.004836,1,1,0,85,0,0.63
4-11-85-1,4,11,0.008872,0.991128,8.020652,15.009124,1,1,0,85,0,0.63
5-11-85-1,5,11,0.018804,0.981196,9.029036,15.01658,1,1,0,85,0,0.63
6-11-85-1,6,11,0.037672,0.962328,10.044444,15.025396,1,1,0,85,0,0.63
7-11-85-1,7,11,0.070872,0.929128,11.06882,15.036304,1,1,0,85,0,0.63
8-11-85-1,8,11,0.128372,0.871628,12.08762,15.035112,1,1,0,85,0,0.63
9-11-85-1,9,11,0.221852,0.778148,13.085316,14.99766,1,1,0,85,0,0.63
10-11-85-1,10,11,0.3604,0.6396,13.99204,14.848028,1,1,0,85,0,0.63
11-11-85-1,11,11,0.539996,0.460004,14.700244,14.480612,1,1,0,85,0,0.63
12-11-85-1,12,11,0.73404,0.26596,15.0866,13.781252,1,1,0,85,0,0.63
13-11-85-1,13,11,0.89226,0.10774,15.138936,12.766824,1,1,0,85,0,0.63
14-11-85-1,14,11,0.977756,0.022244,15.046892,11.643168,1,1,0,85,0,0.63
0-12-85-1,0,12,0.001,0.999,0,0,1,1,0,85,0,0.63
1-12-85-1,1,12,0.001,0.999,0,0,1,1,0,85,0,0.63
2-12-85-1,2,12,0.000484,0.999516,4.99762,15.000764,1,1,0,85,0,0.63
3-12-85-1,3,12,0.00092,0.99908,5.995344,15.001412,1,1,0,85,0,0.63
4-12-85-1,4,12,0.002432,0.997568,7.004084,15.003476,1,1,0,85,0,0.63
5-12-85-1,5,12,0.005524,0.994476,8.003936,15.006728,1,1,0,85,0,0.63
6-12-85-1,6,12,0.0117,0.9883,9.01966,15.015164,1,1,0,85,0,0.63
7-12-85-1,7,12,0.02584,0.97416,10.038444,15.027624,1,1,0,85,0,0.63
8-12-85-1,8,12,0.051784,0.948216,11.06882,15.0497,1,1,0,85,0,0.63
9-12-85-1,9,12,0.103536,0.896464,12.12362,15.077784,1,1,0,85,0,0.63
10-12-85-1,10,12,0.195916,0.804084,13.17828,15.09352,1,1,0,85,0,0.63
11-12-85-1,11,12,0.343924,0.656076,14.166436,15.021168,1,1,0,85,0,0.63
12-12-85-1,12,12,0.549408,0.450592,14.93018,14.697808,1,1,0,85,0,0.63
13-12-85-1,13,12,0.773112,0.226888,15.236852,13.91342,1,1,0,85,0,0.63
14-12-85-1,14,12,0.939784,0.060216,15.127528,12.73764,1,1,0,85,0,0.63
0-13-85-1,0,13,0.001,0.999,0,0,1,1,0,85,0,0.63
1-13-85-1,1,13,0.001,0.999,0,0,1,1,0,85,0,0.63
2-13-85-1,2,13,0.001,0.999,0,0,1,1,0,85,0,0.63
3-13-85-1,3,13,0.00018,0.99982,5.01036,15.0003,1,1,0,85,0,0.63
4-13-85-1,4,13,0.000496,0.999504,6.00202,15.000648,1,1,0,85,0,0.63
5-13-85-1,5,13,0.001032,0.998968,6.997212,15.001788,1,1,0,85,0,0.63
6-13-85-1,6,13,0.002372,0.997628,8.000624,15.003992,1,1,0,85,0,0.63
7-13-85-1,7,13,0.006128,0.993872,9.008908,15.009604,1,1,0,85,0,0.63
8-13-85-1,8,13,0.014408,0.985592,10.027548,15.021864,1,1,0,85,0,0.63
9-13-85-1,9,13,0.032828,0.967172,11.06402,15.048096,1,1,0,85,0,0.63
10-13-85-1,10,13,0.073472,0.926528,12.126996,15.098736,1,1,0,85,0,0.63
11-13-85-1,11,13,0.157852,0.842148,13.250112,15.181876,1,1,0,85,0,0.63
12-13-85-1,12,13,0.314876,0.685124,14.377108,15.252412,1,1,0,85,0,0.63
13-13-85-1,13,13,0.557124,0.442876,15.26528,15.038152,1,1,0,85,0,0.63
14-13-85-1,14,13,0.837156,0.162844,15.347152,14.000784,1,1,0,85,0,0.63
0-14-85-1,0,14,0.001,0.999,0,0,1,1,0,85,0,0.63
1-14-85-1,1,14,0.001,0.999,0,0,1,1,0,85,0,0.63
2-14-85-1,2,14,0.001,0.999,0,0,1,1,0,85,0,0.63
3-14-85-1,3,14,0.001,0.999,0,0,1,1,0,85,0,0.63
4-14-85-1,4,14,2.80E-05,0.999972,4.999196,15.000068,1,1,0,85,0,0.63
5-14-85-1,5,14,9.60E-05,0.999904,6.000768,15.000208,1,1,0,85,0,0.63
6-14-85-1,6,14,0.00026,0.99974,6.999648,15.00056,1,1,0,85,0,0.63
7-14-85-1,7,14,0.000692,0.999308,8.002984,15.001332,1,1,0,85,0,0.63
8-14-85-1,8,14,0.00188,0.99812,9.004656,15.004428,1,1,0,85,0,0.63
9-14-85-1,9,14,0.005164,0.994836,10.013736,15.010864,1,1,0,85,0,0.63
10-14-85-1,10,14,0.01432,0.98568,11.036616,15.030364,1,1,0,85,0,0.63
11-14-85-1,11,14,0.037496,0.962504,12.0961,15.081692,1,1,0,85,0,0.63
12-14-85-1,12,14,0.103576,0.896424,13.266348,15.218872,1,1,0,85,0,0.63
13-14-85-1,13,14,0.277132,0.722868,14.704392,15.590904,1,1,0,85,0,0.63
14-14-85-1,14,14,0.560432,0.439568,15.946396,15.712832,1,1,0,85,0,0.63
14-15-85-1,14,15,0.270492,0.729508,15.385048,16.274684,1,1,0,85,0,0.63
15-14-85-1,15,14,0.841292,0.158708,16.160852,14.812348,1,1,0,85,0,0.63
15-15-85-1,15,15,0.56952,0.43048,16.432324,16.196408,1,1,0,85,0,0.63
0-1-85-0,0,1,0.436272,0.563728,12.320292,12.989384,0,0,0,85,0,0.63
1-1-85-0,1,1,0.541516,0.458484,13.113864,12.677964,0,0,0,85,0,0.63
2-1-85-0,2,1,0.64792,0.35208,13.783356,12.229004,0,0,0,85,0,0.63
3-1-85-0,3,1,0.743924,0.256076,14.288196,11.644208,0,0,0,85,0,0.63
4-1-85-0,4,1,0.82594,0.17406,14.63728,10.92944,0,0,0,85,0,0.63
5-1-85-0,5,1,0.8926,0.1074,14.84446,10.0871,0,0,0,85,0,0.63
6-1-85-0,6,1,0.939588,0.060412,14.949932,9.14774,0,0,0,85,0,0.63
7-1-85-0,7,1,0.969376,0.030624,14.991716,8.177304,0,0,0,85,0,0.63
0-2-85-0,0,2,0.33802,0.66198,11.931356,13.67064,0,0,0,85,0,0.63
1-2-85-0,1,2,0.43502,0.56498,12.756808,13.425204,0,0,0,85,0,0.63
2-2-85-0,2,2,0.541088,0.458912,13.471356,13.040712,0,0,0,85,0,0.63
3-2-85-0,3,2,0.651964,0.348036,14.065784,12.513856,0,0,0,85,0,0.63
4-2-85-0,4,2,0.752672,0.247328,14.495216,11.836544,0,0,0,85,0,0.63
5-2-85-0,5,2,0.836652,0.163348,14.761148,11.043676,0,0,0,85,0,0.63
6-2-85-0,6,2,0.90218,0.09782,14.911516,10.146768,0,0,0,85,0,0.63
7-2-85-0,7,2,0.948032,0.051968,14.981936,9.175444,0,0,0,85,0,0.63
0-3-85-0,0,3,0.24384,0.75616,11.383688,14.210984,0,0,0,85,0,0.63
1-3-85-0,1,3,0.330248,0.669752,12.257612,14.02262,0,0,0,85,0,0.63
2-3-85-0,2,3,0.434932,0.565068,13.053704,13.712088,0,0,0,85,0,0.63
3-3-85-0,3,3,0.545812,0.454188,13.724444,13.273656,0,0,0,85,0,0.63
4-3-85-0,4,3,0.658496,0.341504,14.251248,12.683272,0,0,0,85,0,0.63
5-3-85-0,5,3,0.76398,0.23602,14.622964,11.945248,0,0,0,85,0,0.63
6-3-85-0,6,3,0.850436,0.149564,14.850228,11.107192,0,0,0,85,0,0.63
7-3-85-0,7,3,0.913412,0.086588,14.957412,10.176976,0,0,0,85,0,0.63
0-4-85-0,0,4,0.164644,0.835356,10.691952,14.590624,0,0,0,85,0,0.63
1-4-85-0,1,4,0.236008,0.763992,11.613336,14.456092,0,0,0,85,0,0.63
2-4-85-0,2,4,0.324024,0.675976,12.472936,14.243744,0,0,0,85,0,0.63
3-4-85-0,3,4,0.430004,0.569996,13.23816,13.914852,0,0,0,85,0,0.63
4-4-85-0,4,4,0.545804,0.454196,13.882268,13.448516,0,0,0,85,0,0.63
5-4-85-0,5,4,0.668256,0.331744,14.385748,12.804364,0,0,0,85,0,0.63
6-4-85-0,6,4,0.776968,0.223032,14.719624,12.01694,0,0,0,85,0,0.63
7-4-85-0,7,4,0.863392,0.136608,14.905348,11.14914,0,0,0,85,0,0.63
0-5-85-0,0,5,0.101488,0.898512,9.864764,14.817108,0,0,0,85,0,0.63
1-5-85-0,1,5,0.153996,0.846004,10.822936,14.745148,0,0,0,85,0,0.63
2-5-85-0,2,5,0.222376,0.777624,11.745792,14.622752,0,0,0,85,0,0.63
3-5-85-0,3,5,0.3156,0.6844,12.600948,14.398728,0,0,0,85,0,0.63
4-5-85-0,4,5,0.425808,0.574192,13.37374,14.062176,0,0,0,85,0,0.63
5-5-85-0,5,5,0.550968,0.449032,14.011932,13.54972,0,0,0,85,0,0.63
6-5-85-0,6,5,0.677428,0.322572,14.4953,12.89298,0,0,0,85,0,0.63
7-5-85-0,7,5,0.790728,0.209272,14.801144,12.088316,0,0,0,85,0,0.63
0-6-85-0,0,6,0.0576,0.9424,8.960408,14.935476,0,0,0,85,0,0.63
1-6-85-0,1,6,0.092964,0.907036,9.94704,14.901364,0,0,0,85,0,0.63
2-6-85-0,2,6,0.143804,0.856196,10.91544,14.8416,0,0,0,85,0,0.63
3-6-85-0,3,6,0.212988,0.787012,11.836656,14.721556,0,0,0,85,0,0.63
4-6-85-0,4,6,0.30472,0.69528,12.703368,14.520928,0,0,0,85,0,0.63
5-6-85-0,5,6,0.421084,0.578916,13.48736,14.176364,0,0,0,85,0,0.63
6-6-85-0,6,6,0.556068,0.443932,14.127964,13.657848,0,0,0,85,0,0.63
7-6-85-0,7,6,0.692112,0.307888,14.600868,12.95942,0,0,0,85,0,0.63
0-7-85-0,0,7,0.029988,0.970012,7.995908,14.983172,0,0,0,85,0,0.63
1-7-85-0,1,7,0.050956,0.949044,9.001564,14.974836,0,0,0,85,0,0.63
2-7-85-0,2,7,0.082384,0.917616,9.989184,14.952572,0,0,0,85,0,0.63
3-7-85-0,3,7,0.129648,0.870352,10.958388,14.907288,0,0,0,85,0,0.63
4-7-85-0,4,7,0.19972,0.80028,11.903028,14.804292,0,0,0,85,0,0.63
5-7-85-0,5,7,0.29236,0.70764,12.781148,14.625564,0,0,0,85,0,0.63
6-7-85-0,6,7,0.413424,0.586576,13.580528,14.299832,0,0,0,85,0,0.63
7-7-85-0,7,7,0.561632,0.438368,14.248424,13.7582,0,0,0,85,0,0.63
0-0-80-1,0,0,0.502964,0.497036,11.852708,11.833672,1,0,5,80,0,0.63
8-0-80-1,8,0,0.989944,0.010056,15.001928,6.59268,1,1,5,80,0,0.63
9-0-80-1,9,0,0.996208,0.003792,15.002192,5.5881,1,1,5,80,0,0.63
10-0-80-1,10,0,0.998828,0.001172,15.001036,4.586924,1,1,5,80,0,0.63
11-0-80-1,11,0,0.999,0.001,0,0,1,1,5,80,0,0.63
12-0-80-1,12,0,0.999,0.001,0,0,1,1,5,80,0,0.63
13-0-80-1,13,0,0.999,0.001,0,0,1,1,5,80,0,0.63
14-0-80-1,14,0,0.999,0.001,0,0,1,1,5,80,0,0.63
0-1-80-1,0,1,0.3959,0.6041,11.631564,12.729792,1,0,5,80,0,0.63
1-1-80-1,1,1,0.501924,0.498076,12.528748,12.51398,1,0,5,80,0,0.63
2-1-80-1,2,1,0.61072,0.38928,13.327832,12.196256,1,0,5,80,0,0.63
3-1-80-1,3,1,0.710408,0.289592,13.963672,11.756112,1,0,5,80,0,0.63
4-1-80-1,4,1,0.80028,0.19972,14.4326,11.1426,1,0,5,80,0,0.63
5-1-80-1,5,1,0.872312,0.127688,14.732152,10.385364,1,0,5,80,0,0.63
6-1-80-1,6,1,0.925192,0.074808,14.898872,9.520932,1,0,5,80,0,0.63
7-1-80-1,7,1,0.960208,0.039792,14.970664,8.573496,1,0,5,80,0,0.63
8-1-80-1,8,1,0.981464,0.018536,15.00128,7.598484,1,1,5,80,0,0.63
9-1-80-1,9,1,0.992716,0.007284,15.00426,6.599224,1,1,5,80,0,0.63
10-1-80-1,10,1,0.997456,0.002544,15.002244,5.588524,1,1,5,80,0,0.63
11-1-80-1,11,1,0.999448,0.000552,15.000792,4.590964,1,1,5,80,0,0.63
12-1-80-1,12,1,0.999,0.001,0,0,1,1,5,80,0,0.63
13-1-80-1,13,1,0.999,0.001,0,0,1,1,5,80,0,0.63
14-1-80-1,14,1,0.999,0.001,0,0,1,1,5,80,0,0.63
