MatchID,RecTeam_Score,PullTeam_Score,RecTeam_Win_Prob,PullTeam_Win_Prob,RecTeam_Avg_Score,PullTeam_Avg_Score,RecTeam_RecToStartGame,firstHalf,Time_StartofSim,Time_UntilCap,CapOn,SimulationCount,OLE_Rate
9-5-85-1,9,5,0.950084,0.049916,15.036384,10.494976,1,1,0,85,No,"250,000",0.7
10-5-85-1,10,5,0.98178,0.01822,15.021856,9.451684,1,1,0,85,No,"250,000",0.7
11-5-85-1,11,5,0.994952,0.005048,15.008848,8.44264,1,1,0,85,No,"250,000",0.7
12-5-85-1,12,5,0.998824,0.001176,15.002288,7.438216,1,1,0,85,No,"250,000",0.7
13-5-85-1,13,5,0.999852,0.000148,15.00042,6.429064,1,1,0,85,No,"250,000",0.7
14-5-85-1,14,5,0.999996,4.00E-06,15.000048,5.427736,1,1,0,85,No,"250,000",0.7
0-6-85-1,0,6,0.023856,0.976144,8.42608,14.986816,1,0,0,85,No,"250,000",0.7
1-6-85-1,1,6,0.04456,0.95544,9.434544,14.985132,1,0,0,85,No,"250,000",0.7
2-6-85-1,2,6,0.081452,0.918548,10.453916,14.969576,1,0,0,85,No,"250,000",0.7
3-6-85-1,3,6,0.137568,0.862432,11.454828,14.92738,1,0,0,85,No,"250,000",0.7
4-6-85-1,4,6,0.22488,0.77512,12.436488,14.810604,1,0,0,85,No,"250,000",0.7
5-6-85-1,5,6,0.350016,0.649984,13.357776,14.561348,1,0,0,85,No,"250,000",0.7
6-6-85-1,6,6,0.511816,0.488184,14.165296,14.087288,1,0,0,85,No,"250,000",0.7
7-6-85-1,7,6,0.678256,0.321744,14.722464,13.379028,1,0,0,85,No,"250,000",0.7
8-6-85-1,8,6,0.812244,0.187756,14.978704,12.5183,1,1,0,85,No,"250,000",0.7
9-6-85-1,9,6,0.904948,0.095052,15.049156,11.53348,1,1,0,85,No,"250,000",0.7
10-6-85-1,10,6,0.96116,0.03884,15.041708,10.490804,1,1,0,85,No,"250,000",0.7
11-6-85-1,11,6,0.987896,0.012104,15.018748,9.459516,1,1,0,85,No,"250,000",0.7
12-6-85-1,12,6,0.997344,0.002656,15.005444,8.43376,1,1,0,85,No,"250,000",0.7
13-6-85-1,13,6,0.99962,0.00038,15.001064,7.4285,1,1,0,85,No,"250,000",0.7
14-6-85-1,14,6,0.999968,3.20E-05,15.000048,6.429388,1,1,0,85,No,"250,000",0.7
0-7-85-1,0,7,0.009936,0.990064,7.437088,15.001932,1,0,0,85,No,"250,000",0.7
1-7-85-1,1,7,0.019904,0.980096,8.447884,15.005812,1,0,0,85,No,"250,000",0.7
2-7-85-1,2,7,0.038104,0.961896,9.460152,15.008644,1,0,0,85,No,"250,000",0.7
3-7-85-1,3,7,0.070148,0.929852,10.480044,15.00916,1,0,0,85,No,"250,000",0.7
4-7-85-1,4,7,0.12426,0.87574,11.491044,14.983,1,0,0,85,No,"250,000",0.7
5-7-85-1,5,7,0.207076,0.792924,12.483856,14.901988,1,0,0,85,No,"250,000",0.7
6-7-85-1,6,7,0.333156,0.666844,13.420112,14.681836,1,0,0,85,No,"250,000",0.7
7-7-85-1,7,7,0.519016,0.480984,14.303684,14.178276,1,0,0,85,No,"250,000",0.7
8-7-85-1,8,7,0.69714,0.30286,14.841768,13.444608,1,1,0,85,No,"250,000",0.7
9-7-85-1,9,7,0.829584,0.170416,15.03124,12.553868,1,1,0,85,No,"250,000",0.7
10-7-85-1,10,7,0.920264,0.079736,15.064364,11.533956,1,1,0,85,No,"250,000",0.7
11-7-85-1,11,7,0.971688,0.028312,15.040372,10.483408,1,1,0,85,No,"250,000",0.7
12-7-85-1,12,7,0.992608,0.007392,15.013368,9.439496,1,1,0,85,No,"250,000",0.7
13-7-85-1,13,7,0.998756,0.001244,15.002796,8.431256,1,1,0,85,No,"250,000",0.7
14-7-85-1,14,7,0.999912,8.80E-05,15.000296,7.428092,1,1,0,85,No,"250,000",0.7
0-8-85-1,0,8,0.005968,0.994032,7.015096,15.005884,1,1,0,85,No,"250,000",0.7
1-8-85-1,1,8,0.012068,0.987932,8.01992,15.01128,1,1,0,85,No,"250,000",0.7
2-8-85-1,2,8,0.024296,0.975704,9.036604,15.018156,1,1,0,85,No,"250,000",0.7
3-8-85-1,3,8,0.047656,0.952344,10.059816,15.026572,1,1,0,85,No,"250,000",0.7
4-8-85-1,4,8,0.087296,0.912704,11.07732,15.025896,1,1,0,85,No,"250,000",0.7
5-8-85-1,5,8,0.155436,0.844564,12.08888,14.996104,1,1,0,85,No,"250,000",0.7
6-8-85-1,6,8,0.254284,0.745716,13.044244,14.898768,1,1,0,85,No,"250,000",0.7
7-8-85-1,7,8,0.389048,0.610952,13.8954,14.668976,1,1,0,85,No,"250,000",0.7
8-8-85-1,8,8,0.548912,0.451088,14.53758,14.222384,1,1,0,85,No,"250,000",0.7
9-8-85-1,9,8,0.71112,0.28888,14.929656,13.52328,1,1,0,85,No,"250,000",0.7
10-8-85-1,10,8,0.846764,0.153236,15.075276,12.59162,1,1,0,85,No,"250,000",0.7
11-8-85-1,11,8,0.936388,0.063612,15.072528,11.541296,1,1,0,85,No,"250,000",0.7
12-8-85-1,12,8,0.981512,0.018488,15.033636,10.4728,1,1,0,85,No,"250,000",0.7
13-8-85-1,13,8,0.99658,0.00342,15.007592,9.435948,1,1,0,85,No,"250,000",0.7
14-8-85-1,14,8,0.99976,0.00024,15.000856,8.429476,1,1,0,85,No,"250,000",0.7
0-9-85-1,0,9,0.001728,0.998272,6.003484,15.002464,1,1,0,85,No,"250,000",0.7
1-9-85-1,1,9,0.004008,0.995992,7.004476,15.005812,1,1,0,85,No,"250,000",0.7
2-9-85-1,2,9,0.0088,0.9912,8.00494,15.01066,1,1,0,85,No,"250,000",0.7
3-9-85-1,3,9,0.019192,0.980808,9.034984,15.019356,1,1,0,85,No,"250,000",0.7
4-9-85-1,4,9,0.038312,0.961688,10.042044,15.030524,1,1,0,85,No,"250,000",0.7
5-9-85-1,5,9,0.0753,0.9247,11.082416,15.042468,1,1,0,85,No,"250,000",0.7
6-9-85-1,6,9,0.138876,0.861124,12.11674,15.037076,1,1,0,85,No,"250,000",0.7
7-9-85-1,7,9,0.2388,0.7612,13.107412,14.969396,1,1,0,85,No,"250,000",0.7
8-9-85-1,8,9,0.381692,0.618308,13.994184,14.77292,1,1,0,85,No,"250,000",0.7
9-9-85-1,9,9,0.55164,0.44836,14.656608,14.34234,1,1,0,85,No,"250,000",0.7
10-9-85-1,10,9,0.727952,0.272048,15.027116,13.608028,1,1,0,85,No,"250,000",0.7
11-9-85-1,11,9,0.86798,0.13202,15.11606,12.626324,1,1,0,85,No,"250,000",0.7
12-9-85-1,12,9,0.954572,0.045428,15.072272,11.525948,1,1,0,85,No,"250,000",0.7
13-9-85-1,13,9,0.990088,0.009912,15.022236,10.45748,1,1,0,85,No,"250,000",0.7
14-9-85-1,14,9,0.99904,0.00096,15.002744,9.43062,1,1,0,85,No,"250,000",0.7
0-10-85-1,0,10,0.000416,0.999584,5.006504,15.00054,1,1,0,85,No,"250,000",0.7
1-10-85-1,1,10,0.001084,0.998916,6.008452,15.001904,1,1,0,85,No,"250,000",0.7
2-10-85-1,2,10,0.002792,0.997208,7.01194,15.004092,1,1,0,85,No,"250,000",0.7
3-10-85-1,3,10,0.005984,0.994016,8.006188,15.008688,1,1,0,85,No,"250,000",0.7
4-10-85-1,4,10,0.013832,0.986168,9.025172,15.01744,1,1,0,85,No,"250,000",0.7
5-10-85-1,5,10,0.030504,0.969496,10.051288,15.033288,1,1,0,85,No,"250,000",0.7
6-10-85-1,6,10,0.062096,0.937904,11.09222,15.055612,1,1,0,85,No,"250,000",0.7
7-10-85-1,7,10,0.121508,0.878492,12.137708,15.070796,1,1,0,85,No,"250,000",0.7
8-10-85-1,8,10,0.221008,0.778992,13.170336,15.04664,1,1,0,85,No,"250,000",0.7
9-10-85-1,9,10,0.370476,0.629524,14.111884,14.8952,1,1,0,85,No,"250,000",0.7
10-10-85-1,10,10,0.55662,0.44338,14.80022,14.483548,1,1,0,85,No,"250,000",0.7
11-10-85-1,11,10,0.748016,0.251984,15.124056,13.698652,1,1,0,85,No,"250,000",0.7
12-10-85-1,12,10,0.895348,0.104652,15.14806,12.640136,1,1,0,85,No,"250,000",0.7
13-10-85-1,13,10,0.972992,0.027008,15.058252,11.501632,1,1,0,85,No,"250,000",0.7
14-10-85-1,14,10,0.996792,0.003208,15.00918,10.440632,1,1,0,85,No,"250,000",0.7
0-11-85-1,0,11,0.001,0.999,0,0,1,1,0,85,No,"250,000",0.7
1-11-85-1,1,11,0.000208,0.999792,5.002292,15.00054,1,1,0,85,No,"250,000",0.7
2-11-85-1,2,11,0.000568,0.999432,6.001872,15.001152,1,1,0,85,No,"250,000",0.7
3-11-85-1,3,11,0.001536,0.998464,7.003036,15.002948,1,1,0,85,No,"250,000",0.7
4-11-85-1,4,11,0.003888,0.996112,8.006716,15.00622,1,1,0,85,No,"250,000",0.7
5-11-85-1,5,11,0.009012,0.990988,9.02402,15.01504,1,1,0,85,No,"250,000",0.7
6-11-85-1,6,11,0.021608,0.978392,10.04166,15.031276,1,1,0,85,No,"250,000",0.7
7-11-85-1,7,11,0.048136,0.951864,11.087028,15.060156,1,1,0,85,No,"250,000",0.7
8-11-85-1,8,11,0.101868,0.898132,12.157304,15.099084,1,1,0,85,No,"250,000",0.7
9-11-85-1,9,11,0.198232,0.801768,13.230992,15.124472,1,1,0,85,No,"250,000",0.7
10-11-85-1,10,11,0.356468,0.643532,14.240872,15.0405,1,1,0,85,No,"250,000",0.7
11-11-85-1,11,11,0.563856,0.436144,14.970268,14.649636,1,1,0,85,No,"250,000",0.7
12-11-85-1,12,11,0.775956,0.224044,15.229016,13.786864,1,1,0,85,No,"250,000",0.7
13-11-85-1,13,11,0.926904,0.073096,15.14532,12.614464,1,1,0,85,No,"250,000",0.7
14-11-85-1,14,11,0.988972,0.011028,15.030064,11.46654,1,1,0,85,No,"250,000",0.7
0-12-85-1,0,12,0.001,0.999,0,0,1,1,0,85,No,"250,000",0.7
1-12-85-1,1,12,0.001,0.999,0,0,1,1,0,85,No,"250,000",0.7
2-12-85-1,2,12,8.80E-05,0.999912,4.992208,15.00026,1,1,0,85,No,"250,000",0.7
3-12-85-1,3,12,0.000292,0.999708,6.003104,15.000496,1,1,0,85,No,"250,000",0.7
4-12-85-1,4,12,0.000704,0.999296,7.007992,15.001744,1,1,0,85,No,"250,000",0.7
5-12-85-1,5,12,0.001812,0.998188,7.999576,15.003996,1,1,0,85,No,"250,000",0.7
6-12-85-1,6,12,0.005496,0.994504,9.016864,15.010696,1,1,0,85,No,"250,000",0.7
7-12-85-1,7,12,0.01394,0.98606,10.034356,15.025056,1,1,0,85,No,"250,000",0.7
8-12-85-1,8,12,0.033264,0.966736,11.077188,15.05664,1,1,0,85,No,"250,000",0.7
9-12-85-1,9,12,0.07854,0.92146,12.157812,15.114448,1,1,0,85,No,"250,000",0.7
10-12-85-1,10,12,0.17248,0.82752,13.295364,15.19566,1,1,0,85,No,"250,000",0.7
11-12-85-1,11,12,0.33642,0.66358,14.393428,15.213248,1,1,0,85,No,"250,000",0.7
12-12-85-1,12,12,0.573944,0.426056,15.196996,14.86808,1,1,0,85,No,"250,000",0.7
13-12-85-1,13,12,0.815844,0.184156,15.32342,13.856344,1,1,0,85,No,"250,000",0.7
14-12-85-1,14,12,0.963668,0.036332,15.099784,12.54946,1,1,0,85,No,"250,000",0.7
0-13-85-1,0,13,0.001,0.999,0,0,1,1,0,85,No,"250,000",0.7
1-13-85-1,1,13,0.001,0.999,0,0,1,1,0,85,No,"250,000",0.7
2-13-85-1,2,13,0.001,0.999,0,0,1,1,0,85,No,"250,000",0.7
3-13-85-1,3,13,5.20E-05,0.999948,4.998408,15.0001,1,1,0,85,No,"250,000",0.7
4-13-85-1,4,13,8.40E-05,0.999916,6.00046,15.000176,1,1,0,85,No,"250,000",0.7
5-13-85-1,5,13,0.000252,0.999748,7.004612,15.000636,1,1,0,85,No,"250,000",0.7
6-13-85-1,6,13,0.000852,0.999148,8.00204,15.00192,1,1,0,85,No,"250,000",0.7
7-13-85-1,7,13,0.002404,0.997596,9.004968,15.005708,1,1,0,85,No,"250,000",0.7
8-13-85-1,8,13,0.0072,0.9928,10.019016,15.016208,1,1,0,85,No,"250,000",0.7
9-13-85-1,9,13,0.020004,0.979996,11.05514,15.04302,1,1,0,85,No,"250,000",0.7
10-13-85-1,10,13,0.054252,0.945748,12.142808,15.10744,1,1,0,85,No,"250,000",0.7
11-13-85-1,11,13,0.136196,0.863804,13.31928,15.243748,1,1,0,85,No,"250,000",0.7
12-13-85-1,12,13,0.316044,0.683956,14.621136,15.438324,1,1,0,85,No,"250,000",0.7
13-13-85-1,13,13,0.585324,0.414676,15.529532,15.197648,1,1,0,85,No,"250,000",0.7
14-13-85-1,14,13,0.878372,0.121628,15.333396,13.82872,1,1,0,85,No,"250,000",0.7
0-14-85-1,0,14,0.001,0.999,0,0,1,1,0,85,No,"250,000",0.7
1-14-85-1,1,14,0.001,0.999,0,0,1,1,0,85,No,"250,000",0.7
2-14-85-1,2,14,0.001,0.999,0,0,1,1,0,85,No,"250,000",0.7
3-14-85-1,3,14,0.001,0.999,0,0,1,1,0,85,No,"250,000",0.7
4-14-85-1,4,14,0,1,5.000544,15.000008,1,1,0,85,No,"250,000",0.7
5-14-85-1,5,14,2.80E-05,0.999972,6.00194,15.000068,1,1,0,85,No,"250,000",0.7
6-14-85-1,6,14,5.60E-05,0.999944,6.997728,15.000152,1,1,0,85,No,"250,000",0.7
7-14-85-1,7,14,0.000288,0.999712,8.002792,15.000588,1,1,0,85,No,"250,000",0.7
8-14-85-1,8,14,7.00E-04,0.9993,8.999008,15.001796,1,1,0,85,No,"250,000",0.7
9-14-85-1,9,14,0.002404,0.997596,10.00802,15.006164,1,1,0,85,No,"250,000",0.7
10-14-85-1,10,14,0.007736,0.992264,11.028344,15.021176,1,1,0,85,No,"250,000",0.7
11-14-85-1,11,14,0.02532,0.97468,12.082352,15.07118,1,1,0,85,No,"250,000",0.7
12-14-85-1,12,14,0.08626,0.91374,13.287156,15.235024,1,1,0,85,No,"250,000",0.7
13-14-85-1,13,14,0.284548,0.715452,14.939988,15.779664,1,1,0,85,No,"250,000",0.7
14-14-85-1,14,14,0.59354,0.40646,16.114412,15.77296,1,1,0,85,No,"250,000",0.7
14-15-85-1,14,15,0.269532,0.730468,15.522212,16.367,1,1,0,85,No,"250,000",0.7
15-14-85-1,15,14,0.884784,0.115216,16.157228,14.650856,1,1,0,85,No,"250,000",0.7
15-15-85-1,15,15,0.616032,0.383968,16.525916,16.173756,1,1,0,85,No,"250,000",0.7
0-1-85-0,0,1,0.444008,0.555992,12.52714,13.039812,0,0,0,85,No,"250,000",0.7
1-1-85-0,1,1,0.568064,0.431936,13.350676,12.711704,0,0,0,85,No,"250,000",0.7
2-1-85-0,2,1,0.688988,0.311012,14.021788,12.228208,0,0,0,85,No,"250,000",0.7
3-1-85-0,3,1,0.797548,0.202452,14.507876,11.564652,0,0,0,85,No,"250,000",0.7
4-1-85-0,4,1,0.879216,0.120784,14.796864,10.756084,0,0,0,85,No,"250,000",0.7
5-1-85-0,5,1,0.935012,0.064988,14.940804,9.844524,0,0,0,85,No,"250,000",0.7
6-1-85-0,6,1,0.969752,0.030248,14.993796,8.869844,0,0,0,85,No,"250,000",0.7
7-1-85-0,7,1,0.987108,0.012892,15.005316,7.874576,0,0,0,85,No,"250,000",0.7
0-2-85-0,0,2,0.319904,0.680096,12.107416,13.794624,0,0,0,85,No,"250,000",0.7
1-2-85-0,1,2,0.440008,0.559992,12.985788,13.51796,0,0,0,85,No,"250,000",0.7
2-2-85-0,2,2,0.570068,0.429932,13.734812,13.10102,0,0,0,85,No,"250,000",0.7
3-2-85-0,3,2,0.697264,0.302736,14.313708,12.496824,0,0,0,85,No,"250,000",0.7
4-2-85-0,4,2,0.806132,0.193868,14.6988,11.747052,0,0,0,85,No,"250,000",0.7
5-2-85-0,5,2,0.8882,0.1118,14.904856,10.853832,0,0,0,85,No,"250,000",0.7
6-2-85-0,6,2,0.944088,0.055912,14.990428,9.87998,0,0,0,85,No,"250,000",0.7
7-2-85-0,7,2,0.97502,0.02498,15.009932,8.882784,0,0,0,85,No,"250,000",0.7
0-3-85-0,0,3,0.215016,0.784984,11.53582,14.344564,0,0,0,85,No,"250,000",0.7
1-3-85-0,1,3,0.313796,0.686204,12.452376,14.158652,0,0,0,85,No,"250,000",0.7
2-3-85-0,2,3,0.439024,0.560976,13.305472,13.835628,0,0,0,85,No,"250,000",0.7
3-3-85-0,3,3,0.572236,0.427764,13.99062,13.347064,0,0,0,85,No,"250,000",0.7
4-3-85-0,4,3,0.706968,0.293032,14.510816,12.66756,0,0,0,85,No,"250,000",0.7
5-3-85-0,5,3,0.819812,0.180188,14.82738,11.837488,0,0,0,85,No,"250,000",0.7
6-3-85-0,6,3,0.899924,0.100076,14.969572,10.896972,0,0,0,85,No,"250,000",0.7
7-3-85-0,7,3,0.952888,0.047112,15.01444,9.899684,0,0,0,85,No,"250,000",0.7
0-4-85-0,0,4,0.131132,0.868868,10.801636,14.705008,0,0,0,85,No,"250,000",0.7
1-4-85-0,1,4,0.206708,0.793292,11.77568,14.598432,0,0,0,85,No,"250,000",0.7
2-4-85-0,2,4,0.307688,0.692312,12.684592,14.404012,0,0,0,85,No,"250,000",0.7
3-4-85-0,3,4,0.4329,0.5671,13.502992,14.061068,0,0,0,85,No,"250,000",0.7
4-4-85-0,4,4,0.57872,0.42128,14.17684,13.512152,0,0,0,85,No,"250,000",0.7
5-4-85-0,5,4,0.717788,0.282212,14.644836,12.776544,0,0,0,85,No,"250,000",0.7
6-4-85-0,6,4,0.833312,0.166688,14.908636,11.898036,0,0,0,85,No,"250,000",0.7
7-4-85-0,7,4,0.913224,0.086776,15.0084,10.914436,0,0,0,85,No,"250,000",0.7
0-5-85-0,0,5,0.0733,0.9267,9.94194,14.895644,0,0,0,85,No,"250,000",0.7
1-5-85-0,1,5,0.121616,0.878384,10.933336,14.854176,0,0,0,85,No,"250,000",0.7
2-5-85-0,2,5,0.19512,0.80488,11.912248,14.76662,0,0,0,85,No,"250,000",0.7
3-5-85-0,3,5,0.298068,0.701932,12.827004,14.574104,0,0,0,85,No,"250,000",0.7
